columns,coef,coef_norm
incidenceRate,0.23380684214809289,12.028594603280071
PctNoHS18_24,-0.2862835711039899,-1.600446667846251
PctHS18_24,0.20222195381666677,1.8637730371687529
PctHS25_Over,0.42969241677892456,2.622614882765631
PctBachDeg25_Over,-1.125978821990673,-5.570483937385442
PctEmployed16_Over,-0.1169032410625666,-1.0641709968149686
PctUnemployed16_Over,0.48791514830942595,1.1856939757928424
PctPrivateCoverage,-0.5248638580704135,-5.725249616395842
PctPublicCoverageAlone,0.06396424105135845,0.4487330004309154
PctBlack,0.2356747428099601,1.8822625889891378
